id;cultivo;muestra;estructura;peso;campo;lugar;comuna;region;date
64;trigo;1;tallo;173.89999999999998;1;villa baviera;parral;maule;2021-01-18
65;trigo;1;grano;273.58;1;villa baviera;parral;maule;2021-01-18
66;trigo;2;espiga;227.89999999999998;1;villa baviera;parral;maule;2021-01-18
67;trigo;2;tallo;126.89999999999999;1;villa baviera;parral;maule;2021-01-18
68;trigo;2;grano;183;1;villa baviera;parral;maule;2021-01-18
69;trigo;3;tallo;58.7;1;villa baviera;parral;maule;2021-01-18
70;trigo;3;tallo;101.8;1;villa baviera;parral;maule;2021-01-18
71;trigo;3;espiga;312.9;1;villa baviera;parral;maule;2021-01-18
72;trigo;3;grano;245.85;1;villa baviera;parral;maule;2021-01-18
73;trigo;4;tallo;90.7;1;villa baviera;parral;maule;2021-01-18
74;trigo;4;tallo;80.4;1;villa baviera;parral;maule;2021-01-18
75;trigo;4;espiga;309.7;1;villa baviera;parral;maule;2021-01-18
76;trigo;4;grano;243.48;1;villa baviera;parral;maule;2021-01-18
77;trigo;5;tallo;117.3;1;villa baviera;parral;maule;2021-01-18
78;trigo;5;espiga;242.8;1;villa baviera;parral;maule;2021-01-18
79;trigo;5;espiga;153.39999999999998;1;villa baviera;parral;maule;2021-01-18
80;trigo;5;tallo;82.4;1;villa baviera;parral;maule;2021-01-18
81;trigo;5;grano;194.02;1;villa baviera;parral;maule;2021-01-18
82;trigo;5;grano;127.92;1;villa baviera;parral;maule;2021-01-18
1;maiz;1;hoja;5;2;villa baviera;parral;maule;2020-11-05
2;maiz;1;tallo;0.8000000000000007;2;villa baviera;parral;maule;2020-11-05
3;maiz;2;hoja;2.8000000000000007;2;villa baviera;parral;maule;2020-11-05
4;maiz;2;tallo;-0.1999999999999993;2;villa baviera;parral;maule;2020-11-05
5;maiz;3;hoja;1.1999999999999993;2;villa baviera;parral;maule;2020-11-05
6;maiz;3;tallo;0.8000000000000007;2;villa baviera;parral;maule;2020-11-05
7;maiz;4;hoja;4.099999999999998;2;villa baviera;parral;maule;2020-11-05
8;maiz;4;tallo;0.8999999999999986;2;villa baviera;parral;maule;2020-11-05
9;maiz;5;hoja;2.599999999999998;2;villa baviera;parral;maule;2020-11-05
10;maiz;5;tallo;0;2;villa baviera;parral;maule;2020-11-05
11;maiz;1;hoja;24.8;2;villa baviera;parral;maule;2020-11-19
12;maiz;1;hoja;21.999999999999996;2;villa baviera;parral;maule;2020-11-19
13;maiz;1;tallo;25.599999999999998;2;villa baviera;parral;maule;2020-11-19
14;maiz;2;hoja;50.2;2;villa baviera;parral;maule;2020-11-19
15;maiz;2;tallo;34.7;2;villa baviera;parral;maule;2020-11-19
16;maiz;3;hoja;37.8;2;villa baviera;parral;maule;2020-11-19
17;maiz;3;hoja;33.7;2;villa baviera;parral;maule;2020-11-19
18;maiz;3;tallo;40.7;2;villa baviera;parral;maule;2020-11-19
19;maiz;4;hoja;25.7;2;villa baviera;parral;maule;2020-11-19
20;maiz;4;tallo;17.999999999999996;2;villa baviera;parral;maule;2020-11-19
21;maiz;5;hoja;29.099999999999998;2;villa baviera;parral;maule;2020-11-19
22;maiz;5;tallo;18.400000000000002;2;villa baviera;parral;maule;2020-11-19
23;maiz;1;tallo;80.8;2;villa baviera;parral;maule;2020-12-09
24;maiz;1;tallo;93.10000000000001;2;villa baviera;parral;maule;2020-12-09
25;maiz;1;hoja;67.9;2;villa baviera;parral;maule;2020-12-09
26;maiz;1;hoja;75.60000000000001;2;villa baviera;parral;maule;2020-12-09
27;maiz;1;hoja;13.599999999999998;2;villa baviera;parral;maule;2020-12-09
28;maiz;1;hoja;56.2;2;villa baviera;parral;maule;2020-12-09
29;maiz;2;tallo;88.4;2;villa baviera;parral;maule;2020-12-09
30;maiz;2;tallo;79;2;villa baviera;parral;maule;2020-12-09
31;maiz;2;hoja;116.2;2;villa baviera;parral;maule;2020-12-09
32;maiz;2;hoja;100.4;2;villa baviera;parral;maule;2020-12-09
33;maiz;3;tallo;82.10000000000001;2;villa baviera;parral;maule;2020-12-09
34;maiz;3;tallo;70;2;villa baviera;parral;maule;2020-12-09
35;maiz;3;hoja;93.4;2;villa baviera;parral;maule;2020-12-09
36;maiz;3;hoja;96.3;2;villa baviera;parral;maule;2020-12-09
37;maiz;4;tallo;80.8;2;villa baviera;parral;maule;2020-12-09
38;maiz;4;tallo;77.10000000000001;2;villa baviera;parral;maule;2020-12-09
39;maiz;4;hoja;67.9;2;villa baviera;parral;maule;2020-12-09
40;maiz;4;hoja;131;2;villa baviera;parral;maule;2020-12-09
41;maiz;5;tallo;69.7;2;villa baviera;parral;maule;2020-12-09
42;maiz;5;tallo;64.3;2;villa baviera;parral;maule;2020-12-09
43;maiz;5;hoja;62.5;2;villa baviera;parral;maule;2020-12-09
44;maiz;5;hoja;71;2;villa baviera;parral;maule;2020-12-09
45;maiz;5;hoja;49.400000000000006;2;villa baviera;parral;maule;2020-12-09
46;maiz;1;hoja;90.5;2;villa baviera;parral;maule;2020-12-29
47;maiz;1;hoja;171.79999999999998;2;villa baviera;parral;maule;2020-12-29
48;maiz;1;hoja;119.8;2;villa baviera;parral;maule;2020-12-29
49;maiz;1;tallo;235.2;2;villa baviera;parral;maule;2020-12-29
50;maiz;1;tallo;203.6;2;villa baviera;parral;maule;2020-12-29
51;maiz;1;tallo;243.7;2;villa baviera;parral;maule;2020-12-29
52;maiz;2;hoja;146.2;2;villa baviera;parral;maule;2020-12-29
53;maiz;2;hoja;170.2;2;villa baviera;parral;maule;2020-12-29
54;maiz;2;tallo;195;2;villa baviera;parral;maule;2020-12-29
55;maiz;2;tallo;206.79999999999998;2;villa baviera;parral;maule;2020-12-29
56;maiz;2;tallo;208.79999999999998;2;villa baviera;parral;maule;2020-12-29
57;maiz;3;hoja;109.00000000000001;2;villa baviera;parral;maule;2020-12-29
58;maiz;3;hoja;112.10000000000001;2;villa baviera;parral;maule;2020-12-29
59;maiz;3;hoja;164.2;2;villa baviera;parral;maule;2020-12-29
60;maiz;3;tallo;221.5;2;villa baviera;parral;maule;2020-12-29
61;maiz;3;tallo;199.29999999999998;2;villa baviera;parral;maule;2020-12-29
62;maiz;3;tallo;251.59999999999997;2;villa baviera;parral;maule;2020-12-29
63;maiz;4;hoja;101;2;villa baviera;parral;maule;2020-12-29
64;maiz;4;hoja;117.00000000000001;2;villa baviera;parral;maule;2020-12-29
65;maiz;4;hoja;163.79999999999998;2;villa baviera;parral;maule;2020-12-29
66;maiz;4;hoja;100.10000000000001;2;villa baviera;parral;maule;2020-12-29
67;maiz;4;tallo;171.89999999999998;2;villa baviera;parral;maule;2020-12-29
68;maiz;4;tallo;142.2;2;villa baviera;parral;maule;2020-12-29
69;maiz;5;hoja;153.39999999999998;2;villa baviera;parral;maule;2020-12-29
70;maiz;5;hoja;152.39999999999998;2;villa baviera;parral;maule;2020-12-29
71;maiz;5;hoja;101.10000000000001;2;villa baviera;parral;maule;2020-12-29
72;maiz;5;tallo;244.3;2;villa baviera;parral;maule;2020-12-29
73;maiz;5;tallo;224.1;2;villa baviera;parral;maule;2020-12-29
74;maiz;5;tallo;246.8;2;villa baviera;parral;maule;2020-12-29
75;maiz;1;mazorca;490.8;2;villa baviera;parral;maule;2021-01-18
76;maiz;1;tallo;208.6;2;villa baviera;parral;maule;2021-01-18
77;maiz;1;tallo;212.39999999999998;2;villa baviera;parral;maule;2021-01-18
78;maiz;1;tallo;179.89999999999998;2;villa baviera;parral;maule;2021-01-18
79;maiz;1;tallo;199.6;2;villa baviera;parral;maule;2021-01-18
80;maiz;1;hoja;123.2;2;villa baviera;parral;maule;2021-01-18
81;maiz;1;hoja;95;2;villa baviera;parral;maule;2021-01-18
82;maiz;1;hoja;149.2;2;villa baviera;parral;maule;2021-01-18
83;maiz;2;mazorca;324.09999999999997;2;villa baviera;parral;maule;2021-01-18
84;maiz;2;mazorca;236.2;2;villa baviera;parral;maule;2021-01-18
85;maiz;2;tallo;200.7;2;villa baviera;parral;maule;2021-01-18
86;maiz;2;tallo;127.89999999999999;2;villa baviera;parral;maule;2021-01-18
87;maiz;2;tallo;152.79999999999998;2;villa baviera;parral;maule;2021-01-18
88;maiz;2;tallo;240.8;2;villa baviera;parral;maule;2021-01-18
89;maiz;2;hoja;106.2;2;villa baviera;parral;maule;2021-01-18
90;maiz;2;hoja;52;2;villa baviera;parral;maule;2021-01-18
91;maiz;2;hoja;168.39999999999998;2;villa baviera;parral;maule;2021-01-18
92;maiz;3;mazorca;78.4;2;villa baviera;parral;maule;2021-01-18
93;maiz;3;mazorca;464.8;2;villa baviera;parral;maule;2021-01-18
94;maiz;3;hoja;109.00000000000001;2;villa baviera;parral;maule;2021-01-18
95;maiz;3;hoja;85.9;2;villa baviera;parral;maule;2021-01-18
96;maiz;3;hoja;71.7;2;villa baviera;parral;maule;2021-01-18
97;maiz;3;hoja;102.5;2;villa baviera;parral;maule;2021-01-18
98;maiz;3;tallo;204.39999999999998;2;villa baviera;parral;maule;2021-01-18
99;maiz;3;tallo;220.6;2;villa baviera;parral;maule;2021-01-18
100;maiz;3;tallo;231.79999999999998;2;villa baviera;parral;maule;2021-01-18
101;maiz;3;tallo;180;2;villa baviera;parral;maule;2021-01-18
102;maiz;4;mazorca;269.9;2;villa baviera;parral;maule;2021-01-18
103;maiz;4;hoja;115.39999999999999;2;villa baviera;parral;maule;2021-01-18
104;maiz;4;hoja;86.7;2;villa baviera;parral;maule;2021-01-18
105;maiz;4;hoja;120.7;2;villa baviera;parral;maule;2021-01-18
106;maiz;4;tallo;194.1;2;villa baviera;parral;maule;2021-01-18
107;maiz;4;tallo;139.29999999999998;2;villa baviera;parral;maule;2021-01-18
108;maiz;4;tallo;266.9;2;villa baviera;parral;maule;2021-01-18
109;maiz;5;mazorca;349.7;2;villa baviera;parral;maule;2021-01-18
110;maiz;5;hoja;111.2;2;villa baviera;parral;maule;2021-01-18
111;maiz;5;hoja;95.10000000000001;2;villa baviera;parral;maule;2021-01-18
112;maiz;5;hoja;152.7;2;villa baviera;parral;maule;2021-01-18
113;maiz;5;tallo;220.2;2;villa baviera;parral;maule;2021-01-18
114;maiz;5;tallo;171.29999999999998;2;villa baviera;parral;maule;2021-01-18
115;maiz;5;tallo;162.89999999999998;2;villa baviera;parral;maule;2021-01-18
116;maiz;5;tallo;202.1;2;villa baviera;parral;maule;2021-01-18
